Year,STATE,SERVICE PROVIDERS,CASH AND MEDICAL ASSISTANCE,REFUGEE SOCIAL SERVICES PROGRAM,TARGETED ASSISTANCE PROGRAM,WILSON FISH DISCRETIONARY CMA
2012,AR,Arkansas Department of Human Services,"10,000",0,0,0
2012,AR,Catholic Charities of Arkansas,0,"75,000",0,0
2013,AR,Arkansas Department of Human Services,0,"75,000",0,0
2014,AR,Arkansas Department of Human Services,"10,000","75,000",0,0
2012,AZ,State of Arizona,"8,737,126","3,050,583","2,176,430",0
2013,AZ,State of Arizona,"9,135,000","2,414,380","1,012,664",0
2014,AZ,Arizona Department of Economic Security,"10,500,000","2,132,811",0,0
2014,AZ,Maricopa County,0,0,"667,857",0
2014,AZ,Pima County,0,0,"226,320",0
2012,CA,California Department of Social Services,"26,000,000","83,520,422","46,992,892",0
2012,CA,San Diego County – Wilson Fish Alternative Program,0,"1,648,964","1,067,960","5,408,825"
2013,CA,California Department of Social Services,"25,400,000","7,775,287","2,609,359",0
2013,CA,San Diego County – Wilson Fish Alternative Program,0,0,0,0
2014,CA,California Department of Social Services,"25,200,000","7,684,372",0,0
2014,CA,"Catholic Charities, Diocese of San Diego ",0,"1,072,260","410,867","4,892,475"
2014,CA,Alameda County,0,0,"157,754",0
2014,CA,Los Angeles County,0,0,"1,000,816",0
2014,CA,Orange County,0,0,"126,204",0
2014,CA,Sacremento County,0,0,"228,612",0
2014,CA,Santa Clara County,0,0,"199,705",0
2014,CA,San Diego County,0,0,"551,524",0
2012,CO,State of Colorado,"7,280,000","1,894,684","837,796",0
2012,CO,Colorado Refugee Services Program,0,0,0,"3,436,138"
2013,CO,State of Colorado,"7,140,000","1,896,854","503,424",0
2013,CO,Colorado Refugee Services Program,0,0,0,"3,309,953"
2014,CO,CO Dept. of Human Srvcs.,"7,460,000","1,645,929","379,492","3,510,752"
2012,IA,Bureau of Refugee Services,"950,000","601,100","327,490",0
2013,IA,Bureau of Refugee Services,"850,000","545,883","109,194",0
2014,IA,Iowa Department of Human Services,"995,000","573,316",0,0
2014,IA,Polk County,0,0,"122,502",0
2012,ID,Idaho Office for Refugees,0,"833,417","424,028","2,331,510"
2012,ID,Idaho Department of Health and Welfare,"1,465,000",0,0,0
2013,ID,Idaho Office for Refugees,"1,724,026","737,739","200,273","2,631,870"
2014,ID,Idaho Office for Refugees,"1,900,000","617,913","179,611",0
2014,ID,Mountain States Group,0,0,0,"2,594,580"
2012,KS,Kansas Department of Social and Rehabilitation Services,"645,000","380,561",0,0
2013,KS,Kansas Department of Social and Rehabilitation Services,"575,000","397,892",0,0
2014,KS,Kansas Department of Social and Rehabilitation Services,"835,000","385,276",0,0
2012,MN,State of Minnesota,"1,400,000","2,085,980","697,331",0
2013,MN,State of Minnesota,"3,070,000","2,543,761","571,732",0
2014,MN,Minnesota Department of Human Services,"2,950,000","2,653,715",0,0
2014,MN,Ramsey and Hennepin Counties,0,0,"544,826",0
2012,MO,Missouri Department of Social Services,"1,190,000","1,098,632","340,906",0
2013,MO,Missouri Department of Social Services,"1,080,000","965,043","187,641",0
2014,MO,Missouri Department of Social Services,"1,630,000","941,112",0,0
2014,MO,St. Louis,0,0,"191,068",0
2012,MT,State of Montana,"5,000","75,000",0,0
2013,MT,State of Montana,"30,000","75,000",0,0
2014,MT,State of Montana,"15,000","75,000",0,0
2012,ND,Department of Human Services,"1,200,000","354,974",0,0
2012,ND,Lutheran Social Services of North Dakota,0,0,0,"1,131,223"
2013,ND,Department of Human Services,"1,015,000","68,205",0,0
2013,ND,Lutheran Social Services of North Dakota,0,0,0,"1,186,822"
2014,ND,Department of Human Services,"1,410,000","444,125",0,0
2014,ND,Lutheran Social Services of North Dakota,0,0,0,"1,312,407"
2012,NE,Department of Health and Human Services,"2,070,000","679,487","321,703",0
2013,NE,Department of Health and Human Services,"1,800,000","728,435","193,624",0
2014,NE,Department of Health and Human Services,"2,305,000","794,000",0,0
2014,NE,Douglas County,0,"202,701",0,0
