organization_ein,nonprofit_name,irsclassification_nteecode,category,address,city,state,zipcode,website
463810427,Advocacy for Refugee and Immigrant Services for Empowerment,R11,Single Organization Support,10 GORDON RD,SHREWSBURY,MA,01545-3719,
943181517,Afgan Refugee Islamic Community of the Bay Area,,,29414 MISSION BLVD,UNION CITY,CA,94587-0000,https://masjid-abu-bakr.weebly.com/
834636487,Africa Refugees and Immigrants Community Center,Q71,"International Migration, Refugee Issues",5375 SALEM WOODS DRIVE,DAYTON,OH,45426-1676,
464754643,African Asian Refugee Services Agency Inc.,P84,"Ethnic, Immigrant Centers, Services",107 W OAKLAND AVE,AUSTIN,MN,55912-3121,https://www.facebook.com/multiculturalaustin/
823189422,African Immigrants and Refugees Transition Services,P20,Human Service Organizations - Multipurpose,7077 HICKORY LN,URBANDALE,IA,50322-1892,https://www.airts.org/
10873188,African Refuge Inc.,P20,Human Service Organizations - Multipurpose,185 PARKHILL AVE LOBBY B,STATEN ISLAND,NY,10304-4716,https://www.africanrefuge.org/
300310984,African Refugee Community Cooperation,P80,Services to Promote the Independence of Specific Populations,PO BOX 26063,INDIANAPOLIS,IN,46226-0063,
371594508,African Refugee Relief Agency A California Nonprofit Corporation,P84,"Ethnic, Immigrant Centers, Services",PO BOX 434,W SACRAMENTO,CA,95691-0434,
453648844,African Refugees and Victims Relief Fund,Q71,"International Migration, Refugee Issues",4028 ADAMS DR,SILVER SPRING,MD,20902-2310,
843210964,Alabama Interfaith Refugee Partnership Inc.,R20,"Civil Rights, Advocacy for Specific Groups",2641 PADEN PL,VESTAVIA,AL,35226-2839,http://www.alirp.org/
475353941,Alaska Refugee Relief,P80,Services to Promote the Independence of Specific Populations,745 W 4TH AVE STE 200B,ANCHORAGE,AK,99501-2158,https://nonprofitspotlight.org/2019/09/14/alaska-refugee-relief/
363241033,Alight (formerly American Refugee Committee),Q71,"International Migration, Refugee Issues",615 First Ave. NE.,Minneapolis,MN,55413,https://wearealight.org/
461802136,Alliance for Refugee Youth Support and Education,B01,Alliance/Advocacy Organizations,300 CHAMBER PLZ,CHARLEROI,PA,15022-1607,https://www.arysepgh.org/
263047598,Amaanah Refugee Services,Q71,"International Migration, Refugee Issues",7322 SOUTHWEST FWY,HOUSTON,TX,77074-2010,https://amaanahservices.org/
475162955,American Refugee Council Inc. - Arc,Q71,"International Migration, Refugee Issues",150 LYNNWAY,LYNN,MA,01902-3498,https://arcrescue.org/
202559140,Americans Aiding Refugees Inc.,P20,Human Service Organizations - Multipurpose,403 E COWAN DR,HOUSTON,TX,77007-5027,
475577637,Americans for Refugees in Crisis,T12,Fund Raising and/or Fund Distribution,273 UPLAND RD,CAMBRIDGE,MA,02140-3625,https://americansforrefugees.org/
520882226,Anera,Q30,"International Development, Relief Services",1111 14th Street NW,Washington,DC,20005,https://www.anera.org/
113534833,Ansob Center for Refugees Inc.,P80,Services to Promote the Independence of Specific Populations,2819 STEINWAY ST,ASTORIA,NY,11103-3331,https://www.ansob.org/
272650346,Arab Refugees Christians in USA,P60,"Emergency Assistance (Food, Clothing, Cash)",11235 WESTPOINT DRIVE,KNOXVILLE,TN,37934-2827,
273144463,Arizona Allnation Refugee Resource Center,A23,"Cultural, Ethnic Awareness",3581 WEST NORTHERN AVENUE,PHOENIX,AZ,85051-9404,https://aarrc.org/
371525253,Arizona Immigrant and Refugee Services Inc.,Q71,"International Migration, Refugee Issues",10240 N 31ST AVE STE 112,PHOENIX,AZ,85051-9564,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392559-Arizona_Immigrant_and_Refugee_Services
383056319,Armenian Resettlement and Refugee Assistance Tr Fund,T30,Public Foundations,2323 SAPPHIRE LN,EAST LANSING,MI,48823-7263,
200052487,Art for Refugees in Transition Inc.,A25,Arts Education,C/O GREEN 90 RIVERSIDE DR,NEW YORK,NY,10024-0000,http://www.artforrefugees.org/
452620705,Ashas Refuge,P20,Human Service Organizations - Multipurpose,1035 WINCHESTER RD SUITE A216,COLLIERVILLE,TN,38017-3670,http://www.ashasrefuge.org/
133103029,Association Ark of Refugees Inc. C/O Maria Cintron,,,661 MORRIS PARK AVE,BRONX,NY,10462-3502,
770666687,ASSOCIATION FOR REFUGEE SERVICES PROFESSIONALS,S41,Promotion of Business,PO BOX 80692,AUSTIN,TX,78708-0692,"http://www.refugeeprofessionals.org/#:~:text=Refugee%20Service%20Professionals%20is%20an,and%20uprooted%20and%20displaced%20people."
462139994,Asylee Refugee Migrant Assistance Network,P20,Human Service Organizations - Multipurpose,PO BOX 1640,LAS VEGAS,NV,89125-1640,https://www.facebook.com/ARMANHEALING/
453769025,Asylee Women Enterprise,Q71,"International Migration, Refugee Issues",4500 FRANKFORD AVE,BALTIMORE,MD,21206-5106,https://www.asyleewomen.org/
203642040,Asylum Access,Q71,"International Migration, Refugee Issues",555 12th Street,Oakland,CA,94607,https://asylumaccess.org/
832184686,Asylum and Refugee Services Inc.,P20,Human Service Organizations - Multipurpose,5326 E 5TH ST,TUCSON,AZ,85711-2332,
833011862,Asylum Seeker Advocacy Project Inc.,P84,"Ethnic, Immigrant Centers, Services",40 RECTOR STREET 9TH FLOOR,NEW YORK,NY,10006-1732,https://asylumadvocacy.org/
813205931,Asylum Seeker Assistance Project,Q71,"International Migration, Refugee Issues",2121 DECATUR PL NW STE 4,WASHINGTON,DC,20008-1939,https://www.asylumprojectdc.org/
843443808,Asylum Support Fund Inc.,P01,Alliance/Advocacy Organizations,2 HIGH CLIFF AVE,PLYMOUTH,MA,02360-4315,https://asylumsupportfund.org/
831039125,Benson Area Refugee Taskforce,P84,"Ethnic, Immigrant Centers, Services",PO BOX 4362,OMAHA,NE,68104-0362,http://www.bensonrefugeetf.com/
611762017,Bibles for Refugees,X20,Christian,PO BOX 30000,PHILADELPHIA,PA,19103-8000,https://www.facebook.com/biblesforrefugees
813692372,Blacksburg Refugee Partnership Inc.,P99,Human Services - Multipurpose and Other N.E.C.,PO BOX 116,BLACKSBURG,VA,24063-0116,https://blacksburgrefugeepartnership.org/
823180823,Bloomington Refugee Support Network Inc.,P50,Personal Social Services,3101 E SAINT JAMES CT,BLOOMINGTON,IN,47401-7105,https://www.bloomingtonrefugees.org/
814706837,Buduburam Refugees Association Inc.,W99,"Public, Society Benefit - Multipurpose and Other N.E.C.",1200 DEL MAR CLUB DR,DACULA,GA,30019-7599,https://m.facebook.com/groups/1044756248967502/?ref=pages_profile_groups_tab&source_id=1297664350284952
820878797,Buffalo Immigrant and Refugee Leadership Team Inc.,P20,Human Service Organizations - Multipurpose,2495 MAIN ST STE 547,BUFFALO,NY,14214-2154,https://voicebuffalo.org/bilt/
272836526,Burma Family Refugee Network,P80,Services to Promote the Independence of Specific Populations,1811 11TH AVE,OAKLAND,CA,94606-3103,https://www.brfn.org/
260480062,Burmese Refugee Project Inc.,Q33,International Relief,722 WEST 168TH ST,NEW YORK,NY,10032-3727,https://www.facebook.com/BurmeseRefugeeProject/
