Timestamp,Name of refugee or immigrant assistance agency,City,State,Country,Website,Contact Information (Email),Contact Information (Phone Number),Contact Information (Phone Number),Partners or Collaborating Organizations,Core Program Offerings,What are the current needs for volunteers or other?,Additional comments?,Who are you? (Ok to leave blank),Your email address
2/10/17 13:00,Arizona Immigrant and Refugee Services,Phoenix,AZ,,http://www.airsaz.org/,info@airsaz.org,,,Ethiopian Community Development Council,,,,,
2/10/17 13:00,Alliance for African Assistance,San Diego,CA,,http://www.alliance-for-africa.org/,wl@alliance-for-africa.org,,,Ethiopian Community Development Council,,,,,
2/10/17 13:00,Catholic Charities,San Diego,CA,,www.ccdsd.org,SRMDuvall@ccdsd.org,,,United States Conference of Catholic Bishops,,,,,
2/10/17 13:00,Agency for New Americans,Boise,ID,,http://www.anaidaho.org/,shodzic@jannus.org,,,Episcopal Migration Ministries,,,,,
2/10/17 13:00,Ascentria Care Alliance,Westfield,MA,,http://www.ascentria.org/,info@ascentria.org,,,Lutheran Immigration and Refugee Service,,,,,
2/10/17 13:00,Ascentria Care Alliance,Worcester,MA,,http://www.ascentria.org/,angela.bovill@ascentria.org,,,"Episcopal Migration Ministries, Lutheran Immigration and Refugee Service",,,,,
2/10/17 13:00,Bethany Refugee Services,Grand Rapids,MI,,http://www.bethany.org/para/,kkvannoord@bethany.org,,,"Church World Service, United States Conference of Catholic Bishops",,,,,
2/10/17 13:00,Arrive Ministries,Minneapolis,MN,,http://arriveministries.org/,meberhard@arriveministries.org,,,World Relief,,,,,
2/10/17 13:00,Carolina Refugee Resettlement Agency,Charlotte,NC,,http://carolinarefugee.org/,info@carolinarefugee.org,,,HIAS - The Global Jewish Nonprofit,,,,,
2/10/17 13:00,Ascentria Care Alliance,Concord,NH,,http://www.ascentria.org/our-services/services-new-americans,AMarchildon@ascentria.org,,,"Church World Service, Episcopal Migration Ministries, Lutheran Immigration and Refugee Service",,,,,
2/10/17 13:00,Building Blocks of New Jersey,Newark,NJ,,http://thebbnj.org/about-us,info@theBBNJ.org,,,,We work to empower individuals and families through a broad continuum in their community to overcome challenges and meet the communities values and needs.,,,,
2/10/17 13:00,American Civic Association,Binghamton,NY,,https://sites.google.com/view/americancivic,americancivic@stny.rr.com,,,U.S. Committee for Refugees and Immigrants,,,,,
2/10/17 13:00,CAMBA,New York,NY,,https://www.camba.org/,info@camba.org,,,U.S. Committee for Refugees and Immigrants,,,,,
2/10/17 13:00,Bethany Christian Services,Allentown,PA,,https://www.bethany.org/allentown,N/A,,484-695-6373,Lutheran Immigration and Refugee Service,,,,,
2/10/17 13:00,Bethany Christian Services,Lancaster,PA,,https://www.bethany.org/lancaster,N/A,,(717) 399-3213,Lutheran Immigration and Refugee Service,,,,,
2/10/17 13:00,Bethany Christian Services,Philadelphia,PA,,https://www.bethany.org/philadelphia,N/A,,(215) 376-6200,Lutheran Immigration and Refugee Service,,,,,
2/10/17 13:00,"Bridge Refugee Services, Inc.",Chattanooga,TN,,https://www.bridgerefugees.org/,Mpeshterianu@Bridgerefugees.org,,,Episcopal Migration Ministries,,,,,
