org_name,city,state,country,website,org_contact_email,org_contact_phone_1,org_contact_phone_2,partners,needs,notes,address,zipcode,languages_supported,services,goods,,,,,,,,,,,,,,,,,
North Carolina Refugee Assistance Program,,North Carolina,,https://www.ncdhhs.gov/assistance/refugee-services,,919-527-6300,,,,,,,english,"financial, healthcare, jobs, transportation, language, visa, other",,,,,,,,,,,,,,,,,,
Illinois Welcome Center,Chicago,Illinois,,https://www.dhs.state.il.us/page.aspx?item=124289,lilian.jimenez@illinois.gov,,,,,,"401 S Clinton St, 4th Floor",60607,,"visa, other",,,,,,,,,,,,,,,,,,
State of Massachusetts Office for Refugees and Immigrants,Boston,Massachusetts,,https://www.mass.gov/orgs/office-for-refugees-and-immigrants,,617-727-8147,,,,,"600 Washington Street, 4th floor",2111,,"jobs, visa, education, other",,,,,,,,,,,,,,,,,,
State of Arizona Arizona Refugee Resettlement Program,,Arizona,,https://des.az.gov/services/basic-needs/refugee-resettlement,,,,,,,,,english,"financial, healthcare, language, education, other",,,,,,,,,,,,,,,,,,
State of Arkansas Arkansas Refugee Resettlement Program,,Arkansas,,https://portal.arkansas.gov/agency/department-of-human-services/service/refugee-resettlement/,,,,,,,,,,"financial, healthcare, language, other",,,,,,,,,,,,,,,,,,
State of California Office of Refugee Health Saramento Health Clinic,Saramento,California,,"https://www.cdph.ca.gov/Programs/CID/ORH/Pages/Program%20Overview.aspx#:~:text=In%20California%2C%20the%20Office%20of%20Refugee%20Health%20%28ORH%29,severe%20forms%20of%20trafficking%2C%20and%20other%20eligible%20entrants.",Refugee.Health@cdph.ca.gov,(916) 552-8252    ,(916) 874-9227,,,,"4600 Broadway, Suite #2100",,,healthcare,,,,,,,,,,,,,,,,,,
State of California Office of Refugee Health Oakland Health Clinic,Oakland,California,,https://www.cdph.ca.gov/Programs/CID/ORH/Pages/Refugee%20Health%20Clinics.aspx,Refugee.Health@cdph.ca.gov,510-895-7355,,,,,"6955 Foothill Blvd., Suite #400",,,healthcare,,,,,,,,,,,,,,,,,,
State of California Office of Refugee Health Martinez Health Clinic,Martinez,California,,https://www.cdph.ca.gov/Programs/CID/ORH/Pages/Refugee%20Health%20Clinics.aspx,Refugee.Health@cdph.ca.gov,(925) 313-6893,,,,,"597 Center Avenue, Suite #275",,,healthcare,,,,,,,,,,,,,,,,,,
State of California Office of Refugee Health El centro Health Clinic,El centro,California,,https://www.cdph.ca.gov/Programs/CID/ORH/Pages/Refugee%20Health%20Clinics.aspx,Refugee.Health@cdph.ca.gov,(442) 265-1444,,,,,935 Broadway,,,healthcare,,,,,,,,,,,,,,,,,,
State of California Office of Refugee Health Bakersfield Health Clinic,Bakersfield,California,,https://www.cdph.ca.gov/Programs/CID/ORH/Pages/Refugee%20Health%20Clinics.aspx,Refugee.Health@cdph.ca.gov,(661) 868-1219,,,,,"1800 Mt. Vernon Ave., 2nd Floor",,,healthcare,,,,,,,,,,,,,,,,,,
State of California Office of Refugee Health Long Beach Health Clinic,Long Beach,California,,https://www.cdph.ca.gov/Programs/CID/ORH/Pages/Refugee%20Health%20Clinics.aspx,Refugee.Health@cdph.ca.gov,(562) 570-4255,,,,,2525 Grand Avenue,,,healthcare,,,,,,,,,,,,,,,,,,
State of California Office of Refugee Health Glendale Health Clinic,Glendale,California,,https://www.cdph.ca.gov/Programs/CID/ORH/Pages/Refugee%20Health%20Clinics.aspx,Refugee.Health@cdph.ca.gov,(818) 291-8902,,,,,501 N. Glendale Avenue,,,healthcare,,,,,,,,,,,,,,,,,,
State of California Office of Refugee Health Ontario Health Clinic,Ontario,California,,https://www.cdph.ca.gov/Programs/CID/ORH/Pages/Refugee%20Health%20Clinics.aspx,Refugee.Health@cdph.ca.gov,(760) 956-4487,,,,,"150 E. Holt Blvd., 2nd Floor",,,healthcare,,,,,,,,,,,,,,,,,,
