,org_name,city,state,website,org_contact_email,org_contact_phone_1,org_contact_phone_2,services,zipcode
0,Arizona Immigrant and Refugee Services,Phoenix,AZ,http://www.airsaz.org/,info@airsaz.org,,,,
1,Alliance for African Assistance,San Diego,CA,http://www.alliance-for-africa.org/,wl@alliance-for-africa.org,,,,
2,Catholic Charities,San Diego,CA,www.ccdsd.org,SRMDuvall@ccdsd.org,,,,
3,Agency for New Americans,Boise,ID,http://www.anaidaho.org/,shodzic@jannus.org,,,,
4,Ascentria Care Alliance,Westfield,MA,http://www.ascentria.org/,info@ascentria.org,,,,
5,Ascentria Care Alliance,Worcester,MA,http://www.ascentria.org/,angela.bovill@ascentria.org,,,,
6,Bethany Refugee Services,Grand Rapids,MI,http://www.bethany.org/para/,kkvannoord@bethany.org,,,,
7,Arrive Ministries,Minneapolis,MN,http://arriveministries.org/,meberhard@arriveministries.org,,,,
8,Carolina Refugee Resettlement Agency,Charlotte,NC,http://carolinarefugee.org/,info@carolinarefugee.org,,,,
9,Ascentria Care Alliance,Concord,NH,http://www.ascentria.org/our-services/services-new-americans,AMarchildon@ascentria.org,,,,
10,Building Blocks of New Jersey,Newark,NJ,http://thebbnj.org/about-us,info@theBBNJ.org,,,We work to empower individuals and families through a broad continuum in their community to overcome challenges and meet the communities values and needs.,
11,American Civic Association,Binghamton,NY,https://sites.google.com/view/americancivic,americancivic@stny.rr.com,,,,
12,CAMBA,New York,NY,https://www.camba.org/,info@camba.org,,,,
13,Bethany Christian Services,Allentown,PA,https://www.bethany.org/allentown,,,484-695-6373,,
14,Bethany Christian Services,Lancaster,PA,https://www.bethany.org/lancaster,,,(717) 399-3213,,
15,Bethany Christian Services,Philadelphia,PA,https://www.bethany.org/philadelphia,,,(215) 376-6200,,
16,"Bridge Refugee Services, Inc.",Chattanooga,TN,https://www.bridgerefugees.org/,Mpeshterianu@Bridgerefugees.org,,,,
17,"Bridge Refugee Services, Inc.",Knoxville,TN,http://www.bridgerefugees.org/,dmugorewera@bridgerefugees.org,,,,
18,Caritas of Austin,Austin,TX,,awinchester@caritasofaustin.org,,,,
19,Alliance for Multicultural Community Services,Houston,TX,http://www.allianceontheweb.org/,info@allianceontheweb.org,,,,
20,"Acculturation for Justice, Access and Peace Outreach (AJAPO)",Pittsburgh,PA,http://www.ajapopittsburgh.org/,info@ajapopittsburgh.org,,,,
21,Catholic Social Services,Anchorage,AK,www.cssalaska.org/,jkovarik@cssalaska.org,,,,
22,Catholic Social Services,Mobile,AL,,mksullivan@mobarch.org,,,,
23,Catholic Charities of Arkansas,Little Rock,AR,,pgallaher@dolr.org,,,,
24,Catholic Charities Immigration Services,Springdale,AR,https://catholiccharitiesusa.org/efforts/immigration-refugee-services,cisnw@sbcglobal.net,,,,
25,Catholic Charities Community Services,Phoenix,AZ,,jemorales@cc-az.org,,,,
26,International Rescue Committee,Phoenix,AZ,https://www.rescue.org/united-states/phoenix-az,VolunteerPHX@Rescue.org,,,,
27,Refugee Focus,Phoenix,AZ,http://www.refugeefocus.org/,hello@refugeefocus.org,,,,
28,Refugee Focus,Phoenix,AZ,www.refugeefocus.org,dsubotic@refugeefocus.org (Director),,,,
29,Catholic Social Services,Tucson,AZ,,margaretp@ccs-soaz.org,,,,
30,International Rescue Committee,Tucson,AZ,https://www.rescue.org/united-states/tucson-az,VolunteerTucson@Rescue.org,,,,
31,Refugee Focus,Tucson,AZ,http://www.refugeefocus.org/,hello@refugeefocus.org,,,,
32,East African Community of Orange County,Anaheim,CA,,eastafrican@msn.com,,,,
33,Jewish Family and Children's Services of the East Bay,Berkeley,CA,http://jfcs-eastbay.org/refugee-resettlement/,awrose@jfcs-eastbay.org,,,,
34,World Relief,Garden Grove,CA,http://worldreliefgardengrove.org/,gpeterson@wr.org,,,,
35,Catholic Charities of Los Angeles,Los Angeles,CA,,stompkins@ccharities.org,,,,
36,Episcopal Diocese of Los Angeles Interfaith Refugee & Immigration Service,Los Angeles,CA,http://iris-la.org/,mtaylor@ladiocese.org,,,,
37,Interfaith Refugee & Immigration Services,Los Angeles,CA,http://iris.ladiocese.org/,iris@ladiocese.org,,,,
38,International Institute of Los Angeles,Los Angeles,CA,http://www.iilosangeles.org/,stevholt@verizon.net,,(323) 224-3800,,
39,International Rescue Committee,Los Angeles,CA,https://www.rescue.org/united-states/los-angeles-ca,rameena.rahman@rescue.org,,,,
40,Jewish Family Services of Los Angeles,Los Angeles,CA,https://www.jfsla.org/,communications@Jfsla.org,,,,
41,Jewish Family Services of Silicon Valley,Los Gatos,CA,http://www.jfssv.org/,mindyb@jfssv.org,,,,
42,World Relief,Modesto,CA,http://worldreliefmodesto.org/,laderholt@wr.org,,,,
43,Catholic Charities of East Bay,Oakland,CA,www.cceb.org,elang@cceb.org,,,,
44,International Rescue Committee,Oakland,CA,https://www.rescue.org/united-states/oakland-ca,Kristen.Borash@rescue.org,,,,
45,Sacramento Food Bank & Family Services,Sacramento,CA,www.sacramentofoodbank.org,resettlement@sacramentofoodbank.org,,,,
46,World Relief,Sacramento,CA,http://worldreliefsacramento.org/,rrudeychuk@wr.org,,,,
47,International Rescue Committee,Sacramento,CA,https://www.rescue.org/united-states/sacramento-ca,NorthernCalifornia@Rescue.org,,,,
48,"Opening Doors, Inc",Sacramento,CA,http://www.openingdoorsinc.com/,azra@openingdoorsinc.org,,,,
49,Catholic Charities San Bernadino/Riverside,San Bernadino,CA,,mluu@ccsbriv.org,,,,
50,International Rescue Committee,San Diego,CA,https://www.rescue.org/united-states/san-diego-ca,Volunteersd@Rescue.org,,,,
51,Jewish Family Services of San Diego,San Diego,CA,http://www.jfssd.org/site/PageServer?pagename=programs_refugee_main,michaelh@jfssd.org,,,,
52,Catholic Charities of Santa Clara County,San Jose,CA,www.ccsj.org,gkepferle@ccsj.org,,,,
53,International Rescue Committee,San Jose,CA,https://www.rescue.org/united-states/san-jose-ca,NorthernCalifornia@Rescue.org,,,,
54,International Rescue Committee,Turlock,CA,https://www.rescue.org/united-states/turlock-ca,Kevin.Brooks@Rescue.org,,,,
55,Lutheran Family Services Rocky Mountains,Colorado Springs,CO,http://www.lfsrm.org/refugee-asylee,refugee@lfsrm.org,,,,
56,African Community Center,Denver,CO,http://www.acc-den.org/,,,303-399-4500,"Resettlement services, job skills class, We Made This- refugee women create and sell craft items",
57,Emily Griffith Technical College- Colorado Refugee ESL,Denver,CO,http://www.emilygriffith.edu/colorado-refugee-english-school,,,(720) 423-4700,"Free English classes of various levels for refugees, job training, conversation classes, computer classes",
58,International Rescue Committee,Denver,CO,https://www.rescue.org/united-states/denver-co,Victoria.Francis@Rescue.org,,,,
59,Lutheran Family Services Rocky Mountains,Denver,CO,http://www.lfsrm.org/refugee-asylee,refugee@lfsrm.org,,,,
60,Lutheran Family Services Rocky Mountains,Greeley,CO,http://www.lfsrm.org/refugee-asylee,refugee@lfsrm.org,,,,
61,International Institute of Connecticut,Bridgeport,CT,https://iiconn.org/,,,(203) 336-0141,,
62,Catholic Charities,Hartford,CT,,kmay-bailey@ccaoh.org,,,,
63,Integrated Refugee & Immigrant Services,New Haven,CT,http://www.irisct.org/,cgeorge@irisct.org,,,,
64,Integrated Refugee & Immigrant Services (IRIS),New Haven,CT,http://www.irisct.org/,cgeorge@irisct.org,,,,
65,Refugee Alliance Network,Washington,DC,http://www.refugeealliances.org/,allrefugeenet@gmail.com,,,,
66,U.S. Committee for Refugees and Immigrants,Washington (Headquarters),DC,http://refugees.org/,uscri@uscridc.org,,,to protect the rights and address the needs of persons in forced or voluntary migration worldwide and support their transition to a dignified life,
67,Catholic Charities,Wilmington,DE,www.cdow.org/charities.html,sbrathwaite@ccwilm.org,,,,
68,Jewish Family Services of Delaware,Wilmington,DE,https://www.jfsdelaware.org/,bsilverman@jfsdelaware.org,,,,
69,"Coptic Orthodox Charities, Inc.",Clearwater,FL,http://www.copticcharities.com/,Coptorth@yahoo.com,,,,
70,Gulf Coast Jewish Family and Community Services,Clearwater,FL,https://gulfcoastjewishfamilyandcommunityservices.org/refugee/,,,,,
71,"Catholic Charities of Jacksonville, Florida",Jacksonville,FL,http://www.ccbjax.org/,smale@ccbjax.org,,,,
72,Lutheran Social Services of NE Florida,Jacksonville,FL,http://lssjax.org/,contact@lssjax.org,,,,
73,World Relief,Jacksonville,FL,http://worldreliefjacksonville.org/,mclowe@wr.org,,,,
74,Catholic Charities,Miami,FL,,rturcotte@ccadm.org,,,,
75,Episcopal Migration Ministries,Miami,FL,http://www.episcopalmigrationministries.org/how_you_can_help/volunteer.aspx,cmichel@episcopalchurch.org,,,,
76,International Rescue Committee,Miami,FL,https://www.rescue.org/united-states/miami-fl,VolunteerMiami@rescue.org,,,,
77,Lutheran Services Florida,Miami,FL,https://www.lsfnet.org/,LSF.Volunteer@lsfnet.org,,,,
78,World Relief,Miami,FL,http://miami.worldrelief.org/,worldrelief@wr.org,,305-541-8320,,
79,"Youth Co-Op, Inc.",Miami,FL,http://www.ycoop.org/en/,refugee@ycoopmail.org,,,,
80,Catholic Charities of Central Florida,Orlando,FL,www.cirsorl.org/refugee.htm,carolina.toro@cflcc.org,,,,
81,Lutheran Services Florida,Orlando,FL,https://www.lsfnet.org/,LSF.Volunteer@lsfnet.org,,,,
82,Catholic Charities,Palm Beach,FL,,sgomez@diocesepb.org,,,,
83,"Youth Co-Op, Inc.",Palm Springs,FL,http://www.ycoop.org/en/,refugee@ycoopmail.org,,,,
84,Catholic Charities of NW Florida,Pensacola,FL,www.ccnwfl.org,devitoj@cc.ptdiocese.org,,,,
85,Catholic Charities Bureau,Saint Augestine,FL,,mkarolak@ccbjax.org,,,,
86,Catholic Charities,Saint Petersburg,FL,,mdufva@ccdosp.org,,,,
87,International Rescue Committee,Tallahassee,FL,https://www.rescue.org/united-states/tallahassee-fl,oasis.pena@rescue.org,,,,
88,Lutheran Services Florida,Tampa,FL,https://www.lsfnet.org/,LSF.Volunteer@lsfnet.org,,,,
89,Catholic Charities,Venice,FL,,yk@catholiccharitiesrs.org,,,,
90,Catholic Charities of Atlanta,Atlanta,GA,,fmcbrayer@catholiccharitiesatlanta.org,,,,
91,International Rescue Committee,Atlanta,GA,https://www.rescue.org/united-states/atlanta-ga,VolunteerATL@Rescue.org,,,,
92,Lutheran Services of Georgia,Atlanta,GA,https://www.lsga.org/,lsg@lsga.org,,,,
93,New American Pathways,Atlanta,GA,http://newamericanpathways.org/,p.mixon@newamericanpathways.org,,,,
94,World Relief,Atlanta,GA,http://worldreliefatlanta.org/,Jarnold@worldrelief.org,,,,
95,Lutheran Services of Georgia,Savannah,GA,https://www.lsga.org/,lsg@lsga.org,,,,
96,Pacific Gateway Center,Honolulu,HI,http://www.pacificgateway.org/,pgc.soon@yahoo.com,,,,
97,Catholic Charities,Cedar Rapids,IA,,t.morrison@dbqarch.org,,,,
98,Catholic Charities,Des Moines,IA,,rkinker@catholiccharitiesdm.org,,,,
99,U.S. Committee for Refugees and Immigrants,Des Moines,IA,http://refugees.org/field-office/des-moines/,info@uscri-desmoines.org,,,To protect the rights and address the needs of persons in forced or voluntary migration worldwide and support their transition to a dignified life,
100,International Rescue Committee,Boise,ID,https://www.rescue.org/united-states/boise-id,VolunteerBoise@Rescue.org,,,,
101,World Relief,Boise,ID,http://worldreliefboise.org/,worldrelief@wr.org,,(208) 323-4964,,
102,College of Southern Idaho Refugee Programs,Twin Falls,ID,http://refugeecenter.csi.edu/,zrwasama@refugeecenter.csi.edu,,,,
103,World Relief,Aurora,IL,http://worldreliefdupageaurora.org/,worldrelief@wr.org,,(630) 264-3171,,
104,Catholic Charities,Chicago,IL,,EKulovic@catholiccharities.net,,,,
105,Ethiopian Community Association of Chicago,Chicago,IL,http://www.ecachicago.org/home0.aspx,aadeye@ecachicago.org,,,,
106,Heartland Alliance for Human Needs and Human Rights,Chicago,IL,https://www.heartlandalliance.org/,rics@heartlandalliance.org,,,,
107,Jewish Child and Family Services,Chicago,IL,http://www.jcfs.org/,ask@jcfs.org,,,,
108,Refugee One,Chicago,IL,http://www.refugeeone.org/,info@refugeeone.org,,,,
109,RefugeeOne,Chicago,IL,http://www.refugeeone.org/,mkano@refugeeone.org,,,,
110,World Relief,Chicago,IL,http://worldreliefchicago.org/,chicago@wr.org,,,,
111,World Relief,Moline,IL,http://worldreliefmoline.org/,arowell@wr.org,,,,
112,Catholic Charities Immigration and Refugee Services,Rockford,IL,www.ccrfd.org,jbiljeskovic@rockforddiocese.org,,,,
113,Catholic Charities of Fort Wayne-South Bend,Fort Wayne-South Bend,IN,,nchan@ccfwsb.org,,,,
114,Catholic Charities Indianapolis,Indianapolis,IN,,dbethuram@archindy.org,,,,
115,"Exodus Refugee/Immigration, Inc.",Indianapolis,IN,http://www.exodusrefugee.org/,cvarga@exodusrefugee.org,,,,
116,International Rescue Committee,Garden City,KS,https://www.rescue.org/united-states/garden-city-ks,Holly.Perdue@Rescue.org,,,,
117,Catholic Charities of Northeast Kansas,Kansas City,KS,,rpollock@catholiccharitiesks.org,,,,
118,Mission Adelante,Kansas City,KS,http://www.missionadelante.org,info@missionadelante.or,,,,
119,Episcopal Wichita Area Refugee Ministry,Wichita,KS,http://www.episcopalmigrationministries.org/where_we_work/wichita.aspx,emm@episcopalchurch.org,,,,
120,International Rescue Committee,Wichita,KS,https://www.rescue.org/united-states/wichita-ks,VolunteerKS@Rescue.org,,,,
121,Western Kentucky Refugee Mutual Assistance,Bowling Green,KY,http://icofky.org/,icofky@outlook.com,,,,
122,"Kentucky Refugee Ministrics, Inc.",Lexington,KY,http://www.kyrm.org/,mcobb@krmlex.org,,,,
123,Catholic Charities,Louisville,KY,,ctriplett@archlou.org,,,,
124,"Kentucky Refugee Ministrics, Inc.",Louisville,KY,http://www.kyrm.org/,jkoehl@kyrm.org,,,,
125,Western Kentucky Refugee Mutual Assistance,Owensboro,KY,http://icofky.org/,icofky@outlook.com,,,,
126,Catholic Charities,Baton Rouge,LA,,jdresley@ccdiobr.org,,,,
127,Diocese of Lafayette,Lafayette,LA,,tquesada@diolaf.org,,,,
128,Catholic Charities,New Orleans,LA,,jward@ccano.org,,,,
129,Catholic Charities,Boston,MA,,marjean_perhot@ccab.org,,,,
130,International Institute of Boston,Boston,MA,https://iine.org/,info@iine.org,,,,
131,Refugee and Immigrant Assistance Center,Boston,MA,http://www.riacboston.org/,riac@riacboston.org,,,,
132,Jewish Family Service of Metrowest,Framingham,MA,http://www.jfsmw.org/,,,,,
133,International Institute of Lowell,Lowell,MA,https://iine.org/,info@iine.org,,,,
134,Jewish Family Service of Western Massachusetts,Pittsfield,MA,http://www.jfswm.org/healing-world/refugee-services,info@jfswm.org,,,,
135,Jewish Family Service of Western Massachusetts,Springfield,MA,http://www.jfswm.org/healing-world/refugee-services,info@jfswm.org,,,,
136,Catholic Charities,Worcester,MA,,tmcmahon@ccworc.org,,,,
137,Refugee and Immigrant Assistance Center,Worcester,MA,http://www.riacboston.org/,riac@riacboston.org,,,,
138,World Relief,Anne Arundel,MD,http://worldreliefannearundel.org/,mshinn@wr.org,,,,
139,International Rescue Committee,Baltimore,MD,https://www.rescue.org/united-states/baltimore-md,Baltimore@Rescue.org,,,,
140,World Relief,Baltimore,MD,https://www.worldrelief.net/BaltimoreClinic,Proby@wr.org,,,,
141,Lutheran Immigration and Refugee Service,Baltimore (Headquarters); Affiliates listed separately,MD,http://lirs.org/,lirs@lirs.org,,,"resettlement, advocacy and connecting employers with refugees and migrants",
142,International Rescue Committee,Silver Spring,MD,https://www.rescue.org/united-states/silver-spring-md,Mark.Youmans@rescue.org,,,,
143,Lutheran Social Services of the National Capital Area,Silver Spring,MD,http://lssnca.org/,SyM@lssnca.org,,,,
144,Catholic Charities Maine,Portland,ME,,tahmadov@ccmaine.org,,,,
145,Jewish Family Service of Washtenaw County,Ann Arbor,MI,https://jfsannarbor.org/programs-services/international-services/resettlement/,info@jfsannarbor.org,,,,
146,Samaritas,Battle Creek,MI,https://www.samaritas.org/,info@samaritas.org,,,,
147,Catholic Charities of South East Michigan,Detroit,MI,,bartekd@ccsem.org,,,,
148,U.S. Committee for Refugees and Immigrants,Detroit,MI,http://refugees.org/field-office/detroit/,info@uscri-detroit.org,,,,
149,Samaritas,Grand Rapids,MI,https://www.samaritas.org/,info@samaritas.org,,,,
150,St. Vincent Catholic Charities Refugee Services,Lansing,MI,,harrisj@stvcc.org,,,,
151,Samaritas,Troy,MI,https://www.samaritas.org/,info@samaritas.org,,,,
152,Lutheran Social Service of Minnesota,Minneapolis,MN,http://www.lssmn.org/,volunteers@lssmn.org,,,,
153,Minnesota Council of Churches,Minneapolis,MN,http://www.mnchurches.org/refugeeservices/,ben.walen@mnchurches.org,,,,
154,Catholic Charities,Saint Paul,MN,www.ccspm.org,Katy.Radloff@cctwincities.org,,,,
155,International Institute of Minnesota,St Paul,MN,http://iimn.org/,MSchuneman@iimn.org,,,,
156,Lutheran Social Service of Minnesota,St. Cloud,MN,http://www.lssmn.org/,volunteers@lssmn.org,,,,
157,Catholic Charities,Winona,MN,,khammell@ccwinona.org,,,,
158,Catholic Charities of Central and Northern Missouri,Columbia,MO,,ltran@cccnmo.org,,,,
159,Catholic Charities of Central and Northern Missouri,Jefferson City,MO,,dlester@cccnmo.org,,,,
160,Della Lamb Community Services,Kansas City,MO,http://www.dellalamb.org/,jakers@dellalamb.org,,,,
161,Jewish Vocational Services,Kansas City,MO,http://www.jvskc.org/,sweitkamp@jvskc.org,,,,
162,International Institute of St. Louis-Southwest Missouri,Springfield,MO,http://www.iismo.org/index.html,iismo@iistl.org,,,,
163,International Institute of St. Louis,St. Louis,MO,http://www.iistl.org/,tuckerk@iistl.org,,,,
164,Catholic Social & Community Services,Biloxi,MS,,jwilliams@biloxidiocese.org,,,,
165,Catholic Charities,Jackson,MS,www.catholiccharitiesjackson.org/services/refugee.html,greg.patin@catholiccharitiesjackson.org,,,,
166,International Rescue Committee,Missoula,MT,https://www.rescue.org/united-states/missoula-mt,missoula@rescue.org,,,,
167,Catholic Charities,Charlotte,NC,,gcarter@charlottediocese.org,,,,
168,Church World Service IRP,Durham,NC,http://www.cwsrdu.org/,eandrews@cwsglobal.org,,,,
169,World Relief,Durham,NC,http://worldreliefdurham.org/,JBodnar@wr.org,,,,
170,Church World Service IRP,Greensboro,NC,http://www.cwsglobal.org/what-we-do/refugees/us-offices/cws-greensboro.html,sadams@cwsglobal.org,,,,
171,North Carolina African Services Coalition,Greensboro,NC,http://www.ascafrica.org/,million@ascafrica.org,,,,
172,World Relief,High Point,NC,http://worldreliefhighpoint.org/,mal-sultani@wr.org,,,,
173,Interfaith Refugee Ministry,New Bern,NC,http://helpingrefugees.org/,shusson@helpingrefugees.org,,,,
174,Lutheran Services Carolinas,Raleigh,NC,http://www.lscarolinas.net/,contactus@LSCarolinas.net,,,,
175,U.S. Committee for Refugees and Immigrants,Raleigh,NC,http://refugees.org/field-office/north-carolina/,info@uscrinc.org,,,to protect the rights and address the needs of persons in forced or voluntary migration worldwide and support their transition to a dignified life,
176,Interfaith Refugee Ministry,Wilmington,NC,http://helpingrefugees.org/,spascal@helpingrefugees.org,,,,
177,World Relief,Winston-Salem,NC,http://worldreliefhighpoint.org/,cvanormer@wr.org,,,,
178,Lutheran Social Services of North Dakota,Bismarck,ND,http://www.lssnd.org/,info@lssnd.org,,,,
